Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-CRUZALIA;n/d;186;109;n/d;n/d;295
SP-CRUZEIRO;n/d;10840;4007;n/d;n/d;14847
SP-CUBATAO;n/d;26801;7478;n/d;n/d;34279
SP-CUNHA;n/d;977;450;n/d;n/d;1427
SP-DESCALVADO;n/d;5425;2779;n/d;n/d;8204
SP-DIADEMA;n/d;60442;28617;n/d;n/d;89059
SP-DIRCE REIS;n/d;188;70;n/d;n/d;258
SP-DIVINOLANDIA;n/d;600;730;n/d;n/d;1330
SP-DOBRADA;n/d;278;250;n/d;n/d;528
SP-DOIS CORREGOS;n/d;2812;1391;n/d;n/d;4203
SP-DOLCINOPOLIS;n/d;145;106;n/d;n/d;251
SP-DOURADO;n/d;717;414;n/d;n/d;1131
SP-DRACENA;n/d;4494;2569;n/d;n/d;7063
SP-DUARTINA;n/d;1160;818;n/d;n/d;1978
SP-DUMONT;n/d;712;427;n/d;n/d;1139
SP-ECHAPORA;n/d;391;184;n/d;n/d;575
SP-ELDORADO;n/d;1026;345;n/d;n/d;1371
SP-ELIAS FAUSTO;n/d;2401;951;n/d;n/d;3352
SP-ELISIARIO;n/d;180;110;n/d;n/d;290
SP-EMBAUBA;n/d;356;191;n/d;n/d;547
SP-EMBU DAS ARTES;n/d;21460;13220;n/d;n/d;34680
SP-EMBU-GUACU;n/d;4414;2209;n/d;n/d;6623
SP-EMILIANOPOLIS;n/d;188;118;n/d;n/d;306
SP-ENGENHEIRO COELHO;n/d;1380;515;n/d;n/d;1895
SP-ESPIRITO SANTO DO PINHAL;n/d;6129;3907;n/d;n/d;10036
SP-ESPIRITO SANTO DO TURVO;n/d;903;313;n/d;n/d;1216
SP-ESTRELA D OESTE;n/d;1858;690;n/d;n/d;2548
SP-ESTRELA DO NORTE;n/d;172;114;n/d;n/d;286
SP-EUCLIDES DA CUNHA PAULISTA;n/d;245;147;n/d;n/d;392
SP-FARTURA;n/d;1246;1021;n/d;n/d;2267
SP-FERNANDOPOLIS;n/d;7296;4026;n/d;n/d;11322
SP-FERNANDO PRESTES;n/d;429;280;n/d;n/d;709
SP-FERNAO;n/d;155;83;n/d;n/d;238
SP-FERRAZ DE VASCONCELOS;n/d;8717;4216;n/d;n/d;12933
SP-FLORA RICA;n/d;127;79;n/d;n/d;206
SP-FLOREAL;n/d;272;126;n/d;n/d;398
SP-FLORIDA PAULISTA;n/d;1380;510;n/d;n/d;1890
SP-FLORINIA;n/d;340;163;n/d;n/d;503
SP-FRANCA;n/d;39751;27590;n/d;n/d;67341
SP-FRANCISCO MORATO;n/d;2804;3090;n/d;n/d;5894
SP-FRANCO DA ROCHA;n/d;6151;3345;n/d;n/d;9496
SP-GABRIEL MONTEIRO;n/d;487;530;n/d;n/d;1017
SP-GALIA;n/d;829;388;n/d;n/d;1217
SP-GARCA;n/d;5582;3042;n/d;n/d;8624
SP-GASTAO VIDIGAL;n/d;221;107;n/d;n/d;328
SP-GAVIAO PEIXOTO;n/d;1509;726;n/d;n/d;2235
SP-GENERAL SALGADO;n/d;764;561;n/d;n/d;1325
SP-GETULINA;n/d;943;390;n/d;n/d;1333
SP-GLICERIO;n/d;482;289;n/d;n/d;771
SP-GUAICARA;n/d;939;672;n/d;n/d;1611
SP-GUAIMBE;n/d;324;185;n/d;n/d;509
SP-GUAIRA;n/d;5697;1828;n/d;n/d;7525
SP-GUAPIACU;n/d;2301;1231;n/d;n/d;3532
SP-GUAPIARA;n/d;1429;488;n/d;n/d;1917
SP-GUARA;n/d;1470;908;n/d;n/d;2378
SP-GUARACAI;n/d;710;377;n/d;n/d;1087
SP-GUARACI;n/d;1035;399;n/d;n/d;1434
SP-GUARANI D OESTE;n/d;136;79;n/d;n/d;215
SP-GUARANTA;n/d;735;312;n/d;n/d;1047
SP-GUARARAPES;n/d;3016;1592;n/d;n/d;4608
SP-GUARAREMA;n/d;3120;1264;n/d;n/d;4384
SP-GUARATINGUETA;n/d;13065;6784;n/d;n/d;19849
SP-GUAREI;n/d;841;509;n/d;n/d;1350
SP-GUARIBA;n/d;4666;1688;n/d;n/d;6354
SP-GUARUJA;n/d;23159;12634;n/d;n/d;35793
SP-GUARULHOS;n/d;161314;76600;n/d;n/d;237914
SP-GUATAPARA;n/d;484;325;n/d;n/d;809
SP-GUZOLANDIA;n/d;209;74;n/d;n/d;283
SP-HERCULANDIA;n/d;533;265;n/d;n/d;798
SP-HOLAMBRA;n/d;3924;2741;n/d;n/d;6665
SP-HORTOLANDIA;n/d;15045;9003;n/d;n/d;24048
SP-IACANGA;n/d;1235;510;n/d;n/d;1745
SP-IACRI;n/d;454;222;n/d;n/d;676
SP-IARAS;n/d;233;147;n/d;n/d;380
SP-IBATE;n/d;3721;1393;n/d;n/d;5114
SP-IBIRA;n/d;848;586;n/d;n/d;1434
SP-IBIRAREMA;n/d;864;302;n/d;n/d;1166
SP-IBITINGA;n/d;6446;4462;n/d;n/d;10908
SP-IBIUNA;n/d;4586;2971;n/d;n/d;7557
SP-ICEM;n/d;545;315;n/d;n/d;860
SP-IEPE;n/d;645;329;n/d;n/d;974
SP-IGARACU DO TIETE;n/d;1246;939;n/d;n/d;2185
SP-IGARAPAVA;n/d;2455;1638;n/d;n/d;4093
SP-IGARATA;n/d;586;418;n/d;n/d;1004
SP-IGUAPE;n/d;1270;749;n/d;n/d;2019
SP-ILHABELA;n/d;2397;2066;n/d;n/d;4463
SP-ILHA COMPRIDA;n/d;1025;427;n/d;n/d;1452
SP-ILHA SOLTEIRA;n/d;3083;2179;n/d;n/d;5262
SP-INDAIATUBA;n/d;25944;15515;n/d;n/d;41459
SP-INDIANA;n/d;326;216;n/d;n/d;542
SP-INDIAPORA;n/d;322;151;n/d;n/d;473
SP-INUBIA PAULISTA;n/d;378;213;n/d;n/d;591
SP-IPAUSSU;n/d;1675;778;n/d;n/d;2453
SP-IPERO;n/d;3268;1406;n/d;n/d;4674
SP-IPEUNA;n/d;899;345;n/d;n/d;1244
SP-IPIGUA;n/d;659;170;n/d;n/d;829
SP-IPORANGA;n/d;218;154;n/d;n/d;372
SP-IPUA;n/d;1504;660;n/d;n/d;2164
SP-IRACEMAPOLIS;n/d;3894;1384;n/d;n/d;5278
SP-IRAPUA;n/d;491;356;n/d;n/d;847
SP-IRAPURU;n/d;314;198;n/d;n/d;512
SP-ITABERA;n/d;1050;526;n/d;n/d;1576
SP-ITAI;n/d;2878;898;n/d;n/d;3776
SP-ITAJOBI;n/d;1477;749;n/d;n/d;2226
SP-ITAJU;n/d;323;179;n/d;n/d;502
SP-ITANHAEM;n/d;4518;3793;n/d;n/d;8311
SP-ITAOCA;n/d;141;63;n/d;n/d;204
SP-ITAPECERICA DA SERRA;n/d;11457;7482;n/d;n/d;18939
SP-ITAPETININGA;n/d;17428;9796;n/d;n/d;27224
SP-ITAPEVA;n/d;9643;4635;n/d;n/d;14278
SP-ITAPEVI;n/d;10282;6913;n/d;n/d;17195
SP-ITAPIRA;n/d;12078;7101;n/d;n/d;19179
SP-ITAPIRAPUA PAULISTA;n/d;206;68;n/d;n/d;274
SP-ITAPOLIS;n/d;5077;2876;n/d;n/d;7953
SP-ITAPORANGA;n/d;720;401;n/d;n/d;1121
SP-ITAPUI;n/d;1696;924;n/d;n/d;2620
SP-ITAPURA;n/d;278;196;n/d;n/d;474
SP-ITAQUAQUECETUBA;n/d;19843;9311;n/d;n/d;29154
SP-ITARARE;n/d;4638;1933;n/d;n/d;6571
SP-ITARIRI;n/d;715;367;n/d;n/d;1082
SP-ITATIBA;n/d;15262;10531;n/d;n/d;25793
SP-ITATINGA;n/d;1902;703;n/d;n/d;2605
SP-ITIRAPINA;n/d;1438;792;n/d;n/d;2230
SP-ITIRAPUA;n/d;411;164;n/d;n/d;575
SP-ITOBI;n/d;540;255;n/d;n/d;795
SP-ITU;n/d;24405;13176;n/d;n/d;37581
SP-ITUPEVA;n/d;7404;3897;n/d;n/d;11301
SP-ITUVERAVA;n/d;3222;2407;n/d;n/d;5629
SP-JABORANDI;n/d;502;217;n/d;n/d;719
SP-JABOTICABAL;n/d;11869;5504;n/d;n/d;17373
SP-JACAREI;n/d;21971;11503;n/d;n/d;33474
SP-JACI;n/d;1044;683;n/d;n/d;1727
SP-JACUPIRANGA;n/d;1642;596;n/d;n/d;2238
SP-JAGUARIUNA;n/d;13736;8751;n/d;n/d;22487
SP-JALES;n/d;4480;2991;n/d;n/d;7471
SP-JAMBEIRO;n/d;1369;497;n/d;n/d;1866
SP-JANDIRA;n/d;7882;4048;n/d;n/d;11930
SP-JARDINOPOLIS;n/d;3711;2301;n/d;n/d;6012
SP-JARINU;n/d;2510;1427;n/d;n/d;3937
SP-JAU;n/d;19037;13095;n/d;n/d;32132
